Key,Summary,Type,Environment,Service,Operation,DueDate,StartDate,Status,Priority,Labels,Assignee,Reporter,Description,LatestComment,Stream,Theme,JiraUrl
DSM-BE003,Q3 Internal Tech Summit,BUSINESS_EVENT,,,Internal Event,2026-09-24,2026-09-22,Done,Low,Event_Launch||service-release,Avery Hale,Quinn Storm,"Q3 Internal Tech Summit for engineering and product teams from September 22nd through September 24th. Platform change freeze requested during summit days to minimise on-call disruption.","Summit concluded successfully. Change freeze lifted on September 25th.",Expansion Themes,New Initiatives,https://example.atlassian.net/browse/DSM-BE003
DSM-M001,API Gateway v2.0 General Availability,MILESTONE,,,Release,2026-09-05,2026-09-01,Done,High,milestone||service-release,Cameron Shade,Elliot Hunter,"API Gateway v2.0 reaches general availability. New features include advanced rate limiting, OAuth 2.1 support, and enhanced observability for partner integrations. Breaking changes in /v1 partner endpoints deprecated.","GA release published. Partner onboarding documentation updated.",RocketScience Themes,Data Entry Tools,https://example.atlassian.net/browse/DSM-M001
DSM-M002,DataHub Real-Time Pipeline v1.0 Release,MILESTONE,,,Release,2026-09-12,2026-09-08,Done,High,milestone||service-release,Riley Flame,Logan Snow,"DataHub real-time data ingestion pipeline v1.0 released. Replaces batch-only model with sub-minute latency streaming from CoreStream.","Release deployed. First consumers onboarded successfully.",New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-M002
DSM-M003,CyberEngine ML Fraud Model v4.2 Deployment,MILESTONE,,,Release,2026-09-19,2026-09-15,Done,High,milestone||service-release,Cameron Shade,Riley Flame,"CyberEngine ML fraud detection model v4.2 reaches production milestone. Achieves 8.3% improvement in detection rate and 12% reduction in false positives vs v4.1.","Model in production since Sep 19. Monitoring stable.",Expansion Themes,Gaming,https://example.atlassian.net/browse/DSM-M003
DSM-M004,QuantumCore OIDC Provider Migration Complete,MILESTONE,,,Migration,2026-09-24,2026-09-15,Done,High,milestone||service-release,Logan Snow,Riley Flame,"QuantumCore OIDC provider migration fully complete. All internal workloads migrated from legacy token endpoint to new OIDC provider. Legacy endpoint decommissioned.","Migration signed off. Legacy endpoint decommissioned on Sep 23.",Expansion Themes,Back End,https://example.atlassian.net/browse/DSM-M004
DSM-M005,Q3 Security Audit Sign-off,MILESTONE,,,Audit,2026-09-30,2026-09-22,Implementing,Medium,milestone||service-release,Jordan Storm,Avery Hale,"Q3 security audit covering all production services. Includes penetration testing, vulnerability scanning, and compliance review. Sign-off required before Q4 platform changes can proceed.","Audit in final review stage. Two low-severity findings pending remediation.",New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-M005
DSM-P001,AMBER | Q3 Campaign Peak Period,PEAK_SEASON_PROTECTION_WINDOW,,,Peak Season Protection Window,2026-09-24,2026-09-08,Active,High,PeakSeasonProtectionWindow||service-release,Avery Hale,Quinn Storm,"AMBER protection window active during Q3 campaign peak period from Sep 8 to Sep 24. Standard change freeze applies. CAB approval required for all production changes during this window.","Window activated. All teams notified via service portal.",New Initiatives,Customer Facing Foundations,https://example.atlassian.net/browse/DSM-P001
DSM-P002,BLUE | Platform Reliability Week,PEAK_SEASON_PROTECTION_WINDOW,,,Peak Season Protection Window,2026-09-19,2026-09-15,Done,Medium,PeakSeasonProtectionWindow||service-release,Jules Frost,Jules Knight,"BLUE informational window during Platform Reliability Week from Sep 15 to Sep 19. Resilience testing in progress. Non-critical changes should be deferred to avoid interference with test scenarios.","Window closed on Sep 19. All reliability targets met.",New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-P002
DSM-P003,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-09-09,2026-09-09,Done,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,"Weekly Change Advisory Board session. Review and approve all production changes for the week of September 8th.","8 changes reviewed and approved. 1 deferred to following week.",,https://example.atlassian.net/browse/DSM-P003
DSM-P004,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-09-16,2026-09-16,Done,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,"Weekly Change Advisory Board session. Review and approve all production changes for the week of September 15th.","6 changes reviewed and approved.",,https://example.atlassian.net/browse/DSM-P004
DSM-P005,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-09-23,2026-09-23,Done,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,"Weekly Change Advisory Board session. Review and approve all production changes for the week of September 22nd.","7 changes reviewed and approved. 2 deferred pending Q3 security audit sign-off.",,https://example.atlassian.net/browse/DSM-P005
DSM-P0006,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-10-06,2026-10-06,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of October 06.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0006
DSM-P0007,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-10-13,2026-10-13,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of October 13.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0007
DSM-P0008,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-10-20,2026-10-20,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of October 20.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0008
DSM-P0009,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-10-27,2026-10-27,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of October 27.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0009
DSM-E0027,stg | LogicLab | flag sync update,SERVICE_OP,stg,LogicLab,flag sync update,2026-10-04,2026-10-04,In Progress,High,service-release||change-management,Drew West,Winter Brooks,LogicLab flag sync update applied to stg environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Back End,https://example.atlassian.net/browse/DSM-E0027
DSM-E0028,qa | StreamNode | consumer group rebalance,SERVICE_OP,qa,StreamNode,consumer group rebalance,2026-10-07,2026-10-07,In Progress,High,service-release||change-management,Logan Snow,Kai Wolfe,StreamNode consumer group rebalance applied to qa environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,New Initiatives,Data Science,https://example.atlassian.net/browse/DSM-E0028
DSM-E0029,prd | ZenithCore | provider certificate renewal,SERVICE_OP,prd,ZenithCore,provider certificate renewal,2026-10-10,2026-10-10,In Progress,Low,service-release||change-management,Jordan Storm,Jules Knight,ZenithCore provider certificate renewal applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,New Initiatives,Customer Facing Foundations,https://example.atlassian.net/browse/DSM-E0029
DSM-E0030,prd | AlphaLayer | health probe update,SERVICE_OP,prd,AlphaLayer,health probe update,2026-10-13,2026-10-13,In Progress,Low,service-release||change-management,Riley Flame,Blake Fox,AlphaLayer health probe update applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,RocketScience Themes,Data Entry Tools,https://example.atlassian.net/browse/DSM-E0030
DSM-E0031,stg | QuantumSync | event bus upgrade,SERVICE_OP,stg,QuantumSync,event bus upgrade,2026-10-16,2026-10-16,In Progress,Low,service-release||change-management,Phoenix Moon,Avery Hale,QuantumSync event bus upgrade applied to stg environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Gaming,https://example.atlassian.net/browse/DSM-E0031
DSM-E0032,qa | QuantumCore | auth cache flush,SERVICE_OP,qa,QuantumCore,auth cache flush,2026-10-19,2026-10-19,In Progress,Low,service-release||change-management,Drew West,Winter Brooks,QuantumCore auth cache flush applied to qa environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Back End,https://example.atlassian.net/browse/DSM-E0032
DSM-E0033,prd | CoreStream | retention policy update,SERVICE_OP,prd,CoreStream,retention policy update,2026-10-22,2026-10-22,In Progress,Low,service-release||change-management,Elliot West,Jules Frost,CoreStream retention policy update applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-E0033
DSM-E0034,dev | DataHub | ingestion pipeline restart,SERVICE_OP,dev,DataHub,ingestion pipeline restart,2026-10-25,2026-10-25,In Progress,Low,service-release||change-management,Jordan Storm,Jules Knight,DataHub ingestion pipeline restart applied to dev environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-E0034
DSM-BE0004,Q4 Holiday & Black Friday Campaign 2026,BUSINESS_EVENT,,,Campaign,2026-10-31,2026-10-01,In Progress,High,Event_Launch||service-release,Emerson Rivers,Logan Snow,Q4 Holiday & Black Friday Campaign 2026 running across all digital channels. The peak demand window is expected from 29/10/2026 to 08/11/2026. All platform teams should ensure capacity is available during this period. Change freeze protocols in effect during Black Friday and Cyber Monday peak periods.,Campaign tracking nominal.,New Initiatives,Customer Facing Foundations,https://example.atlassian.net/browse/DSM-BE0004
DSM-M0006,GammaFlow Rule Engine v2.0 Release,MILESTONE,,,Release,2026-10-08,2026-10-01,Implementing,High,milestone||service-release,Logan Snow,Elliot West,GammaFlow fraud rule engine v2.0 released. Updated velocity checks and threshold calibration.,Final validation in progress.,Digital Enablers,Payment Systems,https://example.atlassian.net/browse/DSM-M0006
DSM-M0007,StreamNode Analytics Pipeline v2.0,MILESTONE,,,Release,2026-10-20,2026-10-06,Implementing,High,milestone||service-release,Cameron Shade,Phoenix Moon,StreamNode analytics pipeline v2.0 released with improved consumer throughput.,Final validation in progress.,New Initiatives,Data Science,https://example.atlassian.net/browse/DSM-M0007
DSM-P0010,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-11-03,2026-11-03,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of November 03.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0010
DSM-P0011,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-11-10,2026-11-10,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of November 10.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0011
DSM-P0012,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-11-17,2026-11-17,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of November 17.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0012
DSM-P0013,CAB | Weekly Change Advisory Board,PEAK_SEASON_PROTECTION_WINDOW,,,Change Advisory Board,2026-11-24,2026-11-24,Scheduled,Medium,PeakSeasonProtectionWindow||service-release,Cameron Lane,Jules Knight,Weekly Change Advisory Board session. Review and approve all production changes for the week of November 24.,Session scheduled.,,,https://example.atlassian.net/browse/DSM-P0013
DSM-P0014,RED | Q4 Holiday Peak Protection Window,PEAK_SEASON_PROTECTION_WINDOW,,,Peak Season Protection Window,2027-01-06,2026-11-15,Active,High,PeakSeasonProtectionWindow||service-release,Jules Knight,Elliot Hunter,RED protection window covering Black Friday and Holiday season 2026. Change freeze applies to all production systems. Emergency changes require CISO approval.,Window activated. All teams notified.,New Initiatives,Customer Facing Foundations,https://example.atlassian.net/browse/DSM-P0014
DSM-E0035,qa | MatrixNet | event schema migration,SERVICE_OP,qa,MatrixNet,event schema migration,2026-11-04,2026-11-04,In Progress,High,service-release||change-management,Emerson Rivers,Elliot Hunter,MatrixNet event schema migration applied to qa environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-E0035
DSM-E0036,prd | GammaFlow | rule set pre-deployment,SERVICE_OP,prd,GammaFlow,rule set pre-deployment,2026-11-07,2026-11-07,In Progress,High,service-release||change-management,Cameron Shade,Elliot West,GammaFlow rule set pre-deployment applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,Digital Enablers,Payment Systems,https://example.atlassian.net/browse/DSM-E0036
DSM-E0037,prd | FusionPoint | PSP routing update,SERVICE_OP,prd,FusionPoint,PSP routing update,2026-11-10,2026-11-10,In Progress,High,service-release||change-management,Drew West,Winter Brooks,FusionPoint PSP routing update applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,Digital Enablers,Payment Systems,https://example.atlassian.net/browse/DSM-E0037
DSM-E0038,stg | CyberEngine | ML model deploy,SERVICE_OP,stg,CyberEngine,ML model deploy,2026-11-13,2026-11-13,In Progress,High,service-release||change-management,Logan Snow,Kai Wolfe,CyberEngine ML model deploy applied to stg environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Gaming,https://example.atlassian.net/browse/DSM-E0038
DSM-E0039,qa | LogicLab | flag sync update,SERVICE_OP,qa,LogicLab,flag sync update,2026-11-16,2026-11-16,In Progress,High,service-release||change-management,Cameron Lane,Quinn Storm,LogicLab flag sync update applied to qa environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Back End,https://example.atlassian.net/browse/DSM-E0039
DSM-E0040,prd | StreamNode | consumer group rebalance,SERVICE_OP,prd,StreamNode,consumer group rebalance,2026-11-19,2026-11-19,In Progress,High,service-release||change-management,Emerson Rivers,Elliot Hunter,StreamNode consumer group rebalance applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,New Initiatives,Data Science,https://example.atlassian.net/browse/DSM-E0040
DSM-E0041,prd | ZenithCore | provider certificate renewal,SERVICE_OP,prd,ZenithCore,provider certificate renewal,2026-11-22,2026-11-22,In Progress,Low,service-release||change-management,Phoenix Moon,Avery Hale,ZenithCore provider certificate renewal applied to prd environment. Scheduled maintenance window.,Change completed successfully. All checks passed.,New Initiatives,Customer Facing Foundations,https://example.atlassian.net/browse/DSM-E0041
DSM-E0042,stg | AlphaLayer | health probe update,SERVICE_OP,stg,AlphaLayer,health probe update,2026-11-25,2026-11-25,In Progress,Low,service-release||change-management,Drew West,Winter Brooks,AlphaLayer health probe update applied to stg environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,RocketScience Themes,Data Entry Tools,https://example.atlassian.net/browse/DSM-E0042
DSM-E0043,dev | QuantumSync | event bus upgrade,SERVICE_OP,dev,QuantumSync,event bus upgrade,2026-11-28,2026-11-28,In Progress,Low,service-release||change-management,Logan Snow,Kai Wolfe,QuantumSync event bus upgrade applied to dev environment. Scheduled maintenance window.,Operation validated. Promoting to next environment.,Expansion Themes,Gaming,https://example.atlassian.net/browse/DSM-E0043
DSM-BE0005,Platform Reliability Week 2026,BUSINESS_EVENT,,,Reliability Initiative,2026-11-14,2026-11-10,In Progress,Medium,Event_Launch||service-release,Jules Knight,Cameron Shade,Platform Reliability Week 2026 running across all digital channels. All platform teams should ensure capacity is available during this period. Resilience testing and SLA validation across all core platform services.,Event concluded successfully.,New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-BE0005
DSM-M0008,StreamNode Analytics Pipeline v2.1,MILESTONE,,,Release,2026-11-08,2026-11-01,Implementing,High,milestone||service-release,Blake Fox,Cameron Lane,StreamNode analytics pipeline v2.1 released with improved consumer throughput.,Final validation in progress.,New Initiatives,Data Science,https://example.atlassian.net/browse/DSM-M0008
DSM-M0009,Q4 Platform Health Report,MILESTONE,,,Audit,2026-11-20,2026-11-06,Implementing,Medium,milestone||service-release,Kai Wolfe,Jules Frost,Quarterly platform health assessment. SLA compliance validated across all core services.,Final validation in progress.,New Initiatives,Infra Pillars,https://example.atlassian.net/browse/DSM-M0009
